Date,Streamer,Time,Title,Tag
01/01,Amelia,13:31,【Karaoke RELAY】SING TILL IT COUNTDOWN #HoloENNYRelay (unarchived),unarchive
01/01,Ollie,20:30,【UNARCHIVE (?) KARAOKE】LET'S WELCOME 2022 WITH SOME SONGS!!【Hololive Indonesia 2nd Gen】,unarchive
01/01,Kiara,04:31,【KARAOKE】NEW YEARS PARTYYYYYYYYYYYY #HoloENNYRelay,sing
01/01,Ina,09:30,【Karaoke】 Ina Ina Inaaaaa!! New Year's Karaoke Relay!!!!,sing
01/01,Baelz,10:31,≪HOLOEN KARAOKE RELAY≫ IT'S TIME TO SING!!,sing
01/01,holo EN,17:00,Ochame Kinou - hololive English Cover,cover
01/01,沙花叉クロヱ,17:00,【singing】あけおめ！メンシ解禁記念に歌います！歌枠【沙花叉クロヱ/ホロライブ】,sing
01/01,風真いろは,19:00,【歌枠】歌初め✨週1歌枠でござる🎤【風真いろは/ホロライブ】,sing
01/01,Ollie,20:28,【KARAOKE】LET'S WELCOME 2022 WITH SOME SONGS!!【Hololive Indonesia 2nd Gen】,sing
01/01,Reine,23:30,【NOODLES】We Are Dining (at) Unusual Hours (disingkat W.A.D.U.H.)【Pavolia Reine/hololiveID 2nd gen】,sing
01/02,白銀ノエル,16:00,【歌枠】今年最初の歌はじめ～～～🎍🐯✨【白銀ノエル/ホロライブ】,sing
01/02,白上フブキ,17:58,【ウマ娘】#フブミオ　新春ウマ娘お正月ピックアップガチャ対決!!【ホロライブ/白上フブキ】,collab
01/02,Baelz,20:00,≪Animal Crossing: New Horizons≫  it has begun. ft SANA,sing
01/02,角巻わため,22:04,【歌枠】第７２回！歌い初め！わためぇ Night Fever!!【角巻わため/ホロライブ４期生】,sing
01/03,IRyS,13:01,【Animal Crossing: New Horizons + a bit of Mario Kart 8】VILLAGER GACHA IKZ,sing
01/03,常闇トワ,19:58,【3DLIVE】この叫びを届けるためにｰScreamｰ【#常闇トワ2周年記念】,collab
01/03,姫森ルーナ,21:00,【 ゆびをふる大会 】ゆびふるのらあああああああ！！！ポケモンBDSP【#姫森ルーナ/ホロライブ】,collab
01/03,尾丸ポルカ,21:00,【#ホロゆびをふる】ポルカふるか？このゆびにかぎる👆🌟【ポケモンBDSP/尾丸ポルカ/ホロライブ】,collab
01/03,白銀ノエル,21:12,【#ホロゆびをふる】すべてを捩じ伏せ……..団長は勝つ……..₍₍⁽⁽☝₎₎⁾⁾【ポケモンBDSP】,collab
01/03,獅白ぼたん,21:15,【#ホロゆびをふる】負けたら配信終了…勝つぞ…！―ポケモンBDSPゆびをふる大会【獅白ぼたん視点/ホロライブ】,collab
01/03,ロボ子さん,21:19,【#ホロゆびをふる】NONO不憫✌ボクの運勢は絶好調！！DAYONE?👆?【ホロライブ/ロボ子さん】,collab
01/03,博衣こより,21:37,【ポケモンBDSP】ゆびをふる大会本番！優勝して2022年は不憫を払拭だ！【博衣こより/ホロライブ】,collab
01/03,鷹嶺ルイ,22:00,【#ホロゆびをふる】もう運がないとは言わせない本気の戦い！―ポケモンBDSPゆびをふる大会【鷹嶺ルイ/ホロライブ】,collab
01/03,Anya,23:01,【Pokemon: Brilliant Diamond】2nd Badge Get! Progressing Slowly But Surely【hololive ID 2nd Generation】,sing
01/04,姫森ルーナ,19:59,【 #姫森ルーナ2周年記念LIVE 】みんなへ感謝の気持ち届けたいのら！✨2nd Anniversary 3D LIVE !!💜【ホロライブ】,live
01/04,Iofi,22:01,【 歌枠/KARAOKE 】SUPER DUPER ULTRA RARE 500K AND HAPPY NEW YEAR KARAOKE【 iofi / イオフィ 】,sing
01/04,夜空メル,22:03,【歌枠】お正月衣装ver2.0お披露目♡新春歌枠！！！【ホロライブ/夜空メル】,sing
01/06,Mumei,12:00,【MEMBERS】 Acapella KARAOKE [unarchived],unarchive
01/06,ラプラス,00:28,【歌枠】応援してくれるみんなのおかげでここまで来れました！；；【ラプラス・ダークネス/ホロライブ】,sing
01/06,AZKi,22:00,【新年歌枠】2022年 新年のご挨拶＆歌い初め！Happy New Year !!!【#あずきんち】,sing
01/07,ときのそら,21:02,【オリ曲】まったりのんびり歌う枠【#ときのそら生放送】,sing
01/07,風真いろは,22:01,【歌枠】週1歌枠🎤マリカ大会お疲れ様！今週も楽しいを届けるでござる！【風真いろは/ホロライブ】,sing
01/08,アステル・レダ,20:00,『karaoke_歌枠』2022年初歌（たぶん） /  アステル・レダ,sing
01/08,律可,23:55,もう少しだけ/YOASOBI ショート covered by 律可 #Shorts,cover
01/09,ロボ子さん,10:13,【８０万人耐久】 ８０万人見届けたいっ✨耐久歌枠だよ～～❤【ホロライブ/ロボ子さん】,sing
01/09,夏色まつり,21:58,【120万人超耐久！】目標まで歌い続けます！【ホロライブ/夏色まつり】,sing
01/09,律可,22:00,【弾き語り枠】新年初歌枠！！！だって！！！！【律可/ホロスターズ】 #りつすた,sing
01/10,Fauna,08:00,【UNARCHIVED KARAOKE】 IT'S DEFINITELY CHRISTMAS KARAOKE #holoCouncil,unarchive
01/10,Gura,10:00,[UNARCHIVED] singing stream,unarchive
01/10,戌神ころね,20:00,ふ･れ･ん･ど･し･た･い / やかまし娘 (cover),cover
01/10,角巻わため,22:05,【歌枠】第７３回！わためぇ Night Fever!!【角巻わため/ホロライブ４期生】,sing
01/11,IRyS,12:00,【6 MONTH ANNIVERSARY】SINGING and ANNOUNCEMENTS!!💎,sing
01/12,夜空メル,19:12,【歌枠】重大告知あるよ！たのしく歌うたう♡【ホロライブ/夜空メル】,sing
01/12,大神ミオ,20:00,【歌枠】リクエスト＆覚えた歌をうたいたい！【ホロライブ/大神ミオ】,sing
01/12,Iofi,22:00,【 Live Draw 】ちょっと遅くなった？LET'S MAKE NEW YEAR CARD【 iofi / イオフィ 】,live
01/12,不知火フレア,22:01,【歌枠】今年一発目！？リハビリしつつ歌う-karaoke-【不知火フレア/ホロライブ】,sing
01/12,兎田ぺこら,20:59,【＃兎田ぺこら生誕祭】お誕生日記念🎉3rd Birthday LIVE【ホロライブ】,live
01/13,律可,21:01,【弾き語り枠】ボカロアニソン邦楽歌う【律可/ホロスターズ】 #りつすた,sing
01/13,風真いろは,21:59,【歌枠】週一歌枠🎤きょうは木曜日！残りも頑張ろうでござる🔥！【風真いろは/ホロライブ】,sing
01/13,鷹嶺ルイ,23:00,【singing】ボカロやJ-POPなど色々歌う～！／KARAOKE【鷹嶺ルイ/ホロライブ】,sing
01/14,ラプラス,19:26,【歌枠】決意表明をします、別れの歌【ラプラス・ダークネス/ホロライブ】,sing
01/14,湊あくあ,21:00,【歌枠】新年！はじめての歌枠！！♡KARAOKE LIVE♡【湊あくあ/ホロライブ】,sing
01/14,姫森ルーナ,23:00,【 お歌 】Sing a Song 🎵 ネイルしてテンションアップぅぅぅ！🎤(・o・🍬)【#姫森ルーナ/ホロライブ】,sing
01/16,白銀ノエル,19:00,【#ほめのびの日】週末歌枠！歌へた太郎だけど楽しく歌えばオールOK🎤🎶【白銀ノエル/ホロライブ】,sing
01/16,角巻わため,23:01,【歌枠】第７４回！わためぇ Night Fever!!【角巻わため/ホロライブ４期生】,sing
01/17,アステル・レダ,08:01,『karaoke_歌枠』久々にオハ活でおうたをうたう /  アステル・レダ,sing
01/17,夜空メル,18:00,アニマル / 夜空メル(cover),cover
01/18,律可,20:54,ベテルギウス/優里 弾き語りショート covered by 律可 #shorts,cover
01/19,ときのそら,21:05,【歌枠】ちょこっと歌いたい枠【#ときのそら生放送】,sing
01/19,ホロライブ,20:00,【MV】おにけもだんす / いろはにほへっと あやふぶみ【楽曲好評配信中！】,cover
01/20,Baelz,20:00,≪歌枠≫ 久しぶりに日本語だけ配信！,sing
01/20,常闇トワ,21:30,【歌枠】バラード【常闇トワ】,sing
01/20,Baelz,21:53,≪歌枠≫ 久しぶりに日本語だけ配信！PART 2,sing
01/20,夏色まつり,22:58,【歌枠】 歌いたい衝動にかられて / singing KARAOKE【ホロライブ/夏色まつり】,sing
01/21,星街すいせい,21:00,【歌枠】はりきって歌います😃 / SINGING STREAM【ホロライブ / 星街すいせい】,sing
01/21,風真いろは,21:31,【歌枠】良いお知らせ✨週1歌枠🎤【風真いろは/ホロライブ】,sing
01/21,不知火フレア,22:01,【歌枠】今日は歌うわ！-karaoke-【不知火フレア/ホロライブ】,sing
01/22,AZKi,21:00,【攻殻機動隊】rise / AZKi【歌ってみた】,cover
01/23,アステル・レダ,11:29,『karaoke_歌枠』昼活！！ハムカツ！！ドン勝つ！！！ /  アステル・レダ,sing
01/23,博衣こより,12:00,【耐久歌枠】50万人目指して歌う！Singing！【博衣こより/ホロライブ】,sing
01/23,尾丸ポルカ,19:00,CINEMA - 尾丸ポルカ(cover),cover
01/23,沙花叉クロヱ,20:02,【singing】リハビリ歌枠【沙花叉クロヱ/ホロライブ】,sing
01/23,天音かなた,21:00,【歌枠】歌い方変えてみた/New? singing♪【天音かなた/ホロライブ】,sing
01/23,湊あくあ,22:01,【歌枠】おしらせがあるよ！うたいます！【湊あくあ/ホロライブ】,sing
01/24,百鬼あやめ,00:01,【歌枠】練習会会場🎤,sing
01/24,博衣こより,20:00,シル・ヴ・プレジデント／博衣こより Cover【歌ってみた】,cover
01/24,桃鈴ねね,20:00,【 KARAOKE 】新年初歌枠！いっぱい歌うぞ！✨【 桃鈴ねね / ホロライブ / #ねねいろらいぶ  】,sing
01/24,猫又おかゆ,20:01,【歌枠】ボカロ曲多めでお届けします～～！🎶【猫又おかゆ/ホロライブ】,sing
01/24,奏手イヅル,20:04,【歌枠】久々のギター弾き語る【奏手イヅル】,sing
01/24,律可,21:58,【弾き語り枠】ただいまの歌【律可/ホロスターズ】 #りつすた,sing
01/24,律可,23:15,【歌ってみた】ロウワー / ぬゆり『covered by 律可』,cover
01/25,ラプラス,21:28,【歌枠】リクエスト求！頑張る！！！【ラプラス・ダークネス/ホロライブ】,sing
01/26,癒月ちょこ,20:00,【歌ってみた】神のまにまに/Covered by癒月ちょこ＆大空スバル＆姫森ルーナ【ホロライブ/オリジナルＭＶ】,cover
01/26,白上フブキ,21:00,【歌枠】数世紀ぶりに歌うんだぞっと/Singing【ホロライブ/白上フブキ】,sing
01/26,紫咲シオン,21:01,【歌/雑談】お久しぶりです・・・今年初めての配信！！【ホロライブ/紫咲シオン】,sing
01/26,紫咲シオン,22:00,アニマル／Covered by紫咲シオン【歌ってみた】,cover
01/27,大神ミオ,19:02,【歌枠】好きな音の歌をうたうよ～【ホロライブ/大神ミオ】,sing
01/27,星街すいせい,20:00,アニマル / miComet(cover),cover
01/27,律可,22:59,【20万人耐久枠】到達まで歌う！【律可/ホロスターズ】 #りつすた,sing
01/28,風真いろは,20:00,【歌枠】週1歌枠🎤今週はボカロ多め✨【風真いろは/ホロライブ】,sing
01/29,沙花叉クロヱ,21:02,【singing】デビュー2カ月目にしてプチ告知！歌枠【沙花叉クロヱ/ホロライブ】,sing
01/29,尾丸ポルカ,23:06,お歌うたって誕生日をいっしょにお迎えしよう！！！！～当日のライブとかの話～【尾丸ポルカ/ホロライブ】,sing
01/30,Baelz,09:00,《COVER》Hontou no Oto - KOKIA || HAKOS BAELZ,cover
01/30,尾丸ポルカ,20:55,【#尾丸ポルカ生誕祭】ポルカプロデュース!最強アイドルグループ3DLIVE!,live
01/31,鷹嶺ルイ,18:30,フォニイ / 鷹嶺ルイ(cover),cover
01/31,角巻わため,22:04,【歌枠】第７５回！わためぇ Night Fever!!【角巻わため/ホロライブ４期生】,sing
01/31,アステル・レダ,23:04,『karaoke_歌枠』ぎりぎりでいーつもいきて /  アステル・レダ,sing
02/01,Amelia,09:00,【KARAOKE】Warmin' up vocal chords~ (Unarchived),unarchive
02/01,星街すいせい,18:00,ロウワー / 星街すいせい(cover),cover
02/01,ホロライブ,19:00,【滅びの歌姫】世紀の一戦！ついにあの２人が大激突！【歌ヘタ女王】,sing
02/01,律可,20:53,無理矢理【神っぽいな】弾き語りしてみた！！ covered by 律可 #shorts #ホロスターズ,cover
02/01,博衣こより,22:00,【歌枠】意外とレアな歌枠だよ～！【博衣こより/ホロライブ】,sing
02/02,沙花叉クロヱ,18:00,アニマル/沙花叉クロヱ(cover),cover
02/02,AZKi,20:00,【フルアニメーションMV】猫ならばいける / AZKi【 #アニAZ 】,cover
02/02,大神ミオ,20:22,白金ディスコ/大神ミオ(cover) -VARK LIVE version,cover
02/02,ときのそら,21:03,【Original song】歌枠しちゃうぞ～【#ときのそら生放送】,sing
02/03,天音かなた,18:45,半年前と別人！？歌い方変えてみた①　#Shorts,sing
02/03,雪花ラミィ,20:00,コネクト/雪花ラミィ(cover) -VARK LIVE version,cover
02/03,天音かなた,22:01,【１時間で】歌ってみた制作！！生REC＆音源生MIX！！！【天音かなた/ホロライブ】,cover
02/04,Calli,11:00,【ORIGINAL SONG MV】「Q」- Calliope Mori x Gawr Gura x DECO*27,cover
02/04,獅白ぼたん,18:00,Los!Los!Los! / 獅白ぼたん(cover) -VARK LIVE version,cover
02/04,尾丸ポルカ,19:00,【それが私たちのサガだから】徒花ネクロマンシー／COVER LIVE Ver.【ポルカプロデュース】,cover
02/04,奏手イヅル,21:34,【歌枠】一週間お疲れ弾き語り【奏手イヅル】,sing
02/04,鷹嶺ルイ,22:00,【singing】久々の歌枠～！いっぱい歌うぞ～！／KARAOKE【鷹嶺ルイ/ホロライブ】,sing
02/04,風真いろは,23:00,【歌枠】週1歌枠🎤初ボイトレ後の歌枠！！【風真いろは/ホロライブ】,sing
02/05,夏色まつり,17:56,【歌枠】バラードとか【ホロライブ/夏色まつり】,sing
02/05,Reine,22:00,【KARAOKE/歌枠】Let's sing HOLOLIVE SONGS! It's been a while【Pavolia Reine/hololiveID 2nd gen】,sing
02/05,赤井はあと,22:03,【歌枠】アベ・チャママ ♡天使の歌声♡【SINGCHAMA】,sing
02/05,桃鈴ねね,23:01,【 歌枠 】寝る前にバラードいかがですか？✨【 桃鈴ねね  / ホロライブ / #ねねいろらいぶ 】,sing
02/06,IRyS,14:46,【UNARCHIVED】Guerilla rehab karaoke anyone?,unarchive
02/06,大神ミオ,18:02,【歌枠】懐かしい曲限定！有名曲をうたいまくる【ホロライブ/大神ミオ】,sing
02/06,角巻わため,22:01,【歌枠】第７６回！わためぇ Night Fever!!【角巻わため/ホロライブ４期生】,sing
02/06,湊あくあ,23:01,【歌枠】月曜日をふっとばすわよ！KARAOKE LIVE♪【湊あくあ/ホロライブ】,sing
02/06,律可,23:06,【弾き語り枠】睡眠導入歌【律可/ホロスターズ】 #りつすた,sing
02/07,IRyS,13:25,【Another Eden】 Chasing the cat once more,sing
02/07,尾丸ポルカ,23:00,お披露目てからの雑談歌枠なんだよな #ねぽらぼ【尾丸ポルカ/ホロライブ】,sing
02/08,さくらみこ,00:01,【 歌枠/sing】定休日前におやすみ歌枠 singing stream【ホロライブ/さくらみこ】,sing
02/09,Kronii,12:00,【Original Song MV】Daydream - Ouro Kronii,cover
02/09,百鬼あやめ,21:30,【歌枠】おうたをうたう！！！！！,sing
02/10,Calli,12:15,【JOJO'S KARAOKE】Calliope's Bizarre Karaoke. (UNARCHIVED) #bizarrecallioke,unarchive
02/11,夏色まつり,17:58,【歌枠】ただいまのうたわく～【ホロライブ/夏色まつり】,sing
02/11,アステル・レダ,20:45,【歌ってみた】誇り高きアイドル / アステル,cover
02/12,アルランディス,16:32,【Sing a Song】歌う枠【アルランディス/ホロスターズ】,sing
02/12,奏手イヅル,18:02,【Re】BUMP OF CHICKENのみのカラオケ【奏手イヅル】,sing
02/13,岸堂天真,01:07,深夜のしっとり安眠歌枠 【岸堂天真/ホロスターズ】,sing
02/13,大神ミオ,19:01,【歌枠】バレンタインだ！LoveSongだ！！！！【ホロライブ/大神ミオ】,sing
02/13,湊あくあ,20:00,【歌枠】明日はバレンタインだ！！！Love Song KARAOKE♪【湊あくあ/ホロライブ】,sing
02/14,Baelz,09:30,≪Unarchived KARAOKE!≫ LOVE SONGS EDITION!,unarchive
02/14,Kiara,07:00,【Kiara x Amelia】Dreamin Chuchu / どりーみんチュチュ SONG COVER,cover
02/14,白銀ノエル,18:07,【歌枠】ハッピーバレンタイン🍫チョコの代わりに団長の歌をプレゼント(返品不可)💝【白銀ノエル/ホロライブ】,sing
02/14,律可,18:14,ビターチョコデコレーション弾き語りver/syudou　covered by 律可 #shorts #ホロスターズ,cover
02/14,不知火フレア,19:02,【歌枠】恋曲縛ります❤！-karaoke-【不知火フレア/ホロライブ】,sing
02/14,夏色まつり,20:58,【バレンタイン】らぶらぶ歌枠♡/Singing KARAKOKE【ホロライブ/夏色まつり】,sing
02/14,Iofi,20:59,#iofi_QnAE Senin Produktif ! Making The Final Illustration for OriSong MV,cover
02/14,宝鐘マリン,22:00,【歌枠】LOVE LOVE LOVE ♡ キミたちへ送るバレンタイン ♡ / KARAOKE singing【ホロライブ/宝鐘マリン】,sing
02/14,角巻わため,22:04,【歌枠】第７７回！Valentine's わためぇ Night Fever!!【角巻わため/ホロライブ４期生】,sing
02/15,Amelia,11:00,【KARAOKE】Singin' from the HEART ♡ unarchived,unarchive
02/15,赤井はあと,20:02,【歌枠】アイドルソング縛り♪きゃわわ～～～！【ホロライブ/はあちゃま】,sing
02/15,Moona,21:31,【MoonDay2022】Let's sing a song on my birthday!【MoonUtau】,sing
02/16,アステル・レダ,17:01,『karaoke_歌枠』うむ。 /  アステル・レダ,sing
02/16,猫又おかゆ,20:02,【嬉しい】告知あり歌枠！マイクも新しいしワクワク🎤🎶【嬉しい】,sing
02/17,尾丸ポルカ,10:01,【歌枠】SINGおうた歌枠ぽるうたSINGうたうたうた【尾丸ポルカ/ホロライブ】,sing
02/17,アキロゼ,20:59,【#アキロゼ生誕祭2022】Wonder Shower Musical !!!!【3DLIVE】,live
02/17,不知火フレア,22:00,【歌枠】アニソンメインに歌う！-karaoke-【不知火フレア/ホロライブ】,sing
02/18,湊あくあ,19:00,【アニメMV】あいわな／湊あくあ,cover
02/18,風真いろは,20:00,【歌枠】チャンネル登録者数50万人突破ありがとうございます🍃【風真いろは/ホロライブ】,sing
02/18,Anya,21:00,【cover】マーシャルマキシマイザー(Marshall Maximizer)  / Anya Melfissa,cover
02/18,AZKi,22:01,【歌枠】J-POP・アニソン・ホロメン曲、元気に歌う！Singing Stream【#あずきんち】,sing
02/19,奏手イヅル,19:04,【弾き語り】好きなだけ歌う男【奏手イヅル】,sing
02/19,赤井はあと,20:02,【歌枠】ジブリ縛り！トトロいるもももん！！！#SINGCHAMA【ホロライブ/はあちゃま】,sing
02/20,Baelz,11:02,≪ANISONG KARAOKE≫ la la la desu.,sing
02/20,ロボ子さん,18:00,【歌】何億年ぶりのうた【ホロライブ/ロボ子さん】,sing
02/21,Gura,10:00,[UNARCHIVED] shork sing,unarchive
02/21,ときのそら,20:00,【告知あるよ】歌ったりしゃべったり！！【#ときのそら生放送】,sing
02/21,大空スバル,21:30,Fantastic future/大空スバル(cover) -VARK LIVE version,cover
02/22,猫又おかゆ,20:56,【#猫又おかゆ生誕ライブ2022】歌って踊ってみんな！楽しんでって！✨：OKAYU Birthday Live🎉【ホロライブ】,sing
02/22,尾丸ポルカ,22:22,アニマル - 尾丸ポルカ(cover),cover
02/22,夏色まつり,22:58,【歌枠】癒しのうたごえ / Singing KARAOKE【ホロライブ/夏色まつり】,sing
02/23,Mumei,15:00,【HoloCouncil】 Hikaru Nara / 光るなら COVER,cover
02/23,天音かなた,19:00,フラジール／天音かなた(cover),cover
02/23,AZKi,21:59,【歌枠】開拓者組合1周年記念！生演奏&amp;生歌ライブ / LIVE MUSIC STREAM【#あずきんち】,sing
02/23,Risu,22:00,【MINECRAFT】Menghiasi Kapal Pinisi : PINISING THE DECORATION !!!【Ayunda Risu】,sing
02/24,ホロライブ,19:00,【MV】HappinessWorld【宝鐘マリン/白上フブキ】,cover
02/24,律可,21:01,【20万人記念枠】#律可リク歌祭 でリクエスト募集!!【律可/ホロスターズ】,sing
02/24,律可,23:00,【歌ってみた】夜撫でるメノウ / Ayase『covered by 律可』,cover
02/24,大神ミオ,23:00,【歌枠】深夜にしっとりまったり〜バラード歌う！【ホロライブ/大神ミオ】,sing
02/24,癒月ちょこ,23:08,【freetalk】ちょこ先生はSecretClassのMV語りたい【ホロライブ/癒月ちょこ】,cover
02/24,さくらみこ,23:31,【 歌枠/sing 】歌を歌うにぇ！  singing stream【ホロライブ/さくらみこ】,sing
02/25,ときのそら,18:00,ときのそら Theatrical Cover Live『Role:Play』 ダイジェスト映像,live
02/25,律可,18:34,#shorts【歌ってみた】夜撫でるメノウ / Ayase『covered by 律可』,cover
02/25,奏手イヅル,19:05,【歌枠】Mr.Childrenのみのカラオケ(イヤホン非推奨)【奏手イヅル】,sing
02/25,Reine,20:00,【MV】Love Me Love Me ／ Pavolia Reine【Original Song】,cover
02/25,角巻わため,22:01,【歌枠】第７８回！わためぇ Night Fever!!【角巻わため/ホロライブ４期生】,sing
02/25,風真いろは,23:31,【歌枠】週一歌枠🎤ミラプリ企画ありがとうございました！！【風真いろは/ホロライブ】,sing
02/26,Amelia,15:04,【KARAOKE】DONT GO TO SLEEP YET,sing
02/26,博衣こより,22:01,【Sing】懐メロ歌枠～スナックこよりへようこそ～【博衣こより/ホロライブ】,sing
02/27,IRyS,10:00,【MV】See the world / IRyS【Original Song】,cover
02/27,律可,21:59,#18【RiTunes Labo】生セッション歌枠：ゲスト『HACHI』【律可/ホロスターズ 】#りちゅらぼ,sing
02/28,Baelz,12:00,【ORIGINAL MV】PLAY DICE! || HAKOS BAELZ,cover
02/28,夏色まつり,18:00,ファンサ/夏色まつり(cover) -VARK LIVE version,cover
02/28,鷹嶺ルイ,18:30,MIRA / 鷹嶺ルイ(cover),cover
02/28,常闇トワ,22:02,【歌枠】いろいろ好きに歌っちゃおうかな～！【常闇トワ】,sing
02/28,兎田ぺこら,23:00,【歌枠】たまには深夜に歌いましょう！sing a song!ぺこ！【ホロライブ/兎田ぺこら】,sing
02/28,Baelz,23:01,≪BDAY KARAOKE≫ we drinking + countdown,sing
03/01,Ollie,21:15,【UNARCHIVED KARAOKE】NOW TO PROVE MY BETTER SINGING WITH MORE SONGS!!【Hololive Indonesia 2nd Gen】,unarchive
03/01,さくらみこ,19:01,【 告知/歌枠 】うれしいおしらせするにぇぇ！！！ / GOOD major announcement【ホロライブ/さくらみこ】,sing
03/01,Ollie,20:31,【KARAOKE】I THINK I GOT BETTER AT SINGING!! MAYBE!!【Hololive Indonesia 2nd Gen】,sing
03/01,白銀ノエル,21:02,【歌枠】なんだか歌いたい気分なんだ～～～🎤✨【白銀ノエル/ホロライブ】,sing
03/01,姫森ルーナ,22:00,【 メンバーシップ２周年＊お歌 】ルーナに忠誠を誓うのらああああ！！💗【#姫森ルーナ/ホロライブ】,sing
03/02,夏色まつり,00:30,夜もすがら君想ふ / 夏色まつり cover,cover
03/02,律可,19:17,【W/X/Y】弾き語りしてみた！！ covered by 律可 #shorts #ホロスターズ,cover
03/02,桃鈴ねね,20:58,【 3DLIVE 】ねねが主役！！！！！ #桃鈴ねね誕生日2022【 桃鈴ねね / ホロライブ 】,live
03/02,夏色まつり,23:24,【歌枠】歌を届けます！ / Singing KARAOKE【ホロライブ/夏色まつり】,sing
03/03,博衣こより,18:00,【Sing】ただいま！引っ越し記念&amp;54万人感謝歌枠！【博衣こより/ホロライブ】,sing
03/03,赤井はあと,20:02,【歌枠】あっは～ん！色気全開でいくわよ・・・♥【ホロライブ/はあちゃま】,sing
03/03,ラプラス,21:28,【歌枠】久しぶりだ！吾輩の歌聴いてくれる奴いるううう！？！？【ラプラス・ダークネス/ホロライブ】,sing
03/03,律可,21:57,【弾き語り枠】久しぶりな歌枠【律可/ホロスターズ】 #りつすた,sing
03/04,風真いろは,20:11,【歌枠】週1歌枠🎤この小屋で歌うのも今日が最後でござるな・・・【風真いろは/ホロライブ】,sing
03/04,ロボ子さん,20:58,【＃ロボ子4周年記念LIVE 】４周年３D IDOL LIVE🎉cuteにcoolに楽しんでIKZ🎉 【3D LIVE】,live
03/05,アステル・レダ,22:30,『karaoke_歌枠』うたみた上がりました noarchive /  アステル・レダ,unarchive
03/05,赤井はあと,20:08,【歌ったり喋る】たまにはまったり～～～。,sing
03/05,さくらみこ,20:56,【 #さくらみこ生誕祭 】BIRTHDAY PARTY 🎂 4th Virtual3DLive !!【ホロライブ/さくらみこ】,live
03/05,不知火フレア,22:02,【歌枠】おうち３Dで歌うぞっ！-karaoke-【不知火フレア/ホロライブ】,sing
03/06,沙花叉クロヱ,19:02,【singing】歌枠で今週もお疲れ様！【沙花叉クロヱ/ホロライブ】,sing
03/06,角巻わため,22:01,【歌枠】第７９回！わためぇ Night Fever!!【角巻わため/ホロライブ４期生】,sing
03/06,鷹嶺ルイ,22:15,アイデンティティ / 猫又おかゆ＆鷹嶺ルイ(cover),cover
03/07,鷹嶺ルイ,18:01,【singing】久々！レアな歌枠！！／KARAOKE【鷹嶺ルイ/ホロライブ】,sing
03/07,夏色まつり,19:58,【歌枠】リクエストを歌うなどするッ！ / Singing KARAOKE【ホロライブ/夏色まつり】,sing
03/07,赤井はあと,20:01,SING STREAM with my best friend♪,sing
